barangay_name,lgu_name,total_ha,canopy_pct_v6_2019,canopy_pct_v6_2020,canopy_pct_v6_2021,canopy_pct_v6_2022,canopy_pct_v6_2023,canopy_pct_v6_2024,canopy_pct_v6_2025,canopy_pct_v6_2026,canopy_ha_v6_2019,canopy_ha_v6_2020,canopy_ha_v6_2021,canopy_ha_v6_2022,canopy_ha_v6_2023,canopy_ha_v6_2024,canopy_ha_v6_2025,canopy_ha_v6_2026
Santa Cruz,Quezon City,43.5,7.651,8.85,7.919,11.342,7.637,8.336,11.541,6.756,3.3,3.8,3.4,4.9,3.3,3.6,5.0,2.9
Santa Lucia,Quezon City,66.1,7.753,6.523,7.402,4.936,6.817,7.905,8.027,6.7,5.1,4.3,4.9,3.3,4.5,5.2,5.3,4.4
Santa Monica,Quezon City,166.6,10.11,9.933,9.36,7.192,9.603,9.305,10.099,9.305,16.8,16.5,15.6,12.0,16.0,15.5,16.8,15.5
Santa Teresita,Quezon City,34.8,2.334,3.714,2.862,2.774,4.032,3.053,5.055,3.003,0.8,1.3,1.0,1.0,1.4,1.1,1.8,1.0
Santo Cristo,Quezon City,55.5,4.35,4.944,4.61,4.947,4.855,5.53,6.462,5.44,2.4,2.7,2.6,2.7,2.7,3.1,3.6,3.0
Santo Domingo,Quezon City,91.1,5.094,5.828,6.866,7.058,4.988,6.63,8.134,4.013,4.6,5.3,6.3,6.4,4.5,6.0,7.4,3.7
Santo Niño,Quezon City,20.3,3.824,4.387,5.211,6.683,5.108,5.662,6.321,2.353,0.8,0.9,1.1,1.4,1.0,1.1,1.3,0.5
Santol,Quezon City,44.2,6.837,7.166,7.351,9.087,5.967,8.14,7.214,6.249,3.0,3.2,3.2,4.0,2.6,3.6,3.2,2.8
Sauyo,Quezon City,283.5,8.408,9.107,8.764,9.001,6.928,9.937,10.393,8.198,23.8,25.8,24.8,25.5,19.6,28.2,29.5,23.2
Sienna,Quezon City,39.3,2.949,4.781,4.209,3.422,3.013,4.568,3.7,3.623,1.2,1.9,1.7,1.3,1.2,1.8,1.5,1.4
Sikatuna Village,Quezon City,40.8,6.255,7.045,4.68,5.362,3.622,6.796,6.978,4.53,2.5,2.9,1.9,2.2,1.5,2.8,2.8,1.8
Silangan,Quezon City,22.4,4.997,5.63,5.641,5.354,4.437,6.142,4.061,5.408,1.1,1.3,1.3,1.2,1.0,1.4,0.9,1.2
Socorro,Quezon City,118.4,3.965,5.813,5.144,4.541,3.937,6.521,6.215,5.068,4.7,6.9,6.1,5.4,4.7,7.7,7.4,6.0
South Triangle,Quezon City,112.6,3.912,4.8,5.604,5.579,4.435,6.818,5.879,4.88,4.4,5.4,6.3,6.3,5.0,7.7,6.6,5.5
Tagumpay,Quezon City,10.8,5.7,5.634,4.606,4.641,3.543,8.227,6.464,5.875,0.6,0.6,0.5,0.5,0.4,0.9,0.7,0.6
Talayan,Quezon City,48.9,8.958,9.951,9.753,9.681,7.596,9.579,11.732,7.151,4.4,4.9,4.8,4.7,3.7,4.7,5.7,3.5
Talipapa,Quezon City,168.9,4.923,7.277,6.408,6.611,5.192,6.659,6.168,5.814,8.3,12.3,10.8,11.2,8.8,11.2,10.4,9.8
Tandang Sora,Quezon City,393.6,6.668,7.246,6.812,7.316,6.518,8.376,7.549,7.135,26.2,28.5,26.8,28.8,25.7,33.0,29.7,28.1
Tatalon,Quezon City,93.3,4.225,5.706,5.83,3.638,5.658,6.007,6.93,3.48,3.9,5.3,5.4,3.4,5.3,5.6,6.5,3.2
Teachers Village East,Quezon City,21.7,7.621,9.42,6.942,6.678,3.931,10.006,7.699,7.576,1.7,2.0,1.5,1.4,0.9,2.2,1.7,1.6
Teachers Village West,Quezon City,23.3,8.091,7.218,6.942,5.791,5.723,8.639,7.394,5.159,1.9,1.7,1.6,1.3,1.3,2.0,1.7,1.2
UP Campus,Quezon City,464.9,18.924,23.329,19.745,20.03,18.199,21.345,22.813,18.191,88.0,108.5,91.8,93.1,84.6,99.2,106.1,84.6
UP Village,Quezon City,38.9,11.273,13.814,11.88,10.501,10.526,13.308,10.321,11.333,4.4,5.4,4.6,4.1,4.1,5.2,4.0,4.4
Ugong Norte,Quezon City,267.5,10.105,10.253,10.747,10.457,11.311,11.648,13.498,9.288,27.0,27.4,28.7,28.0,30.3,31.2,36.1,24.8
Unang Sigaw,Quezon City,19.8,3.616,6.37,5.404,4.602,2.81,5.94,3.673,4.068,0.7,1.3,1.1,0.9,0.6,1.2,0.7,0.8
Valencia,Quezon City,43.5,9.826,9.192,8.613,10.875,8.068,10.656,9.446,7.945,4.3,4.0,3.7,4.7,3.5,4.6,4.1,3.5
Vasra,Quezon City,55.0,12.546,12.97,10.954,9.697,11.777,14.69,13.062,8.695,6.9,7.1,6.0,5.3,6.5,8.1,7.2,4.8
Veterans Village,Quezon City,51.9,2.225,3.555,2.678,3.668,2.086,4.364,4.481,3.447,1.2,1.8,1.4,1.9,1.1,2.3,2.3,1.8
Villa Maria Clara,Quezon City,8.4,1.526,3.411,2.56,2.264,1.92,3.152,3.724,4.436,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.4
West Kamias,Quezon City,18.5,5.204,5.23,5.09,4.051,1.241,6.154,5.703,5.828,1.0,1.0,0.9,0.7,0.2,1.1,1.1,1.1
West Triangle,Quezon City,68.5,7.035,8.578,8.436,7.283,5.503,8.069,7.029,5.193,4.8,5.9,5.8,5.0,3.8,5.5,4.8,3.6
White Plains,Quezon City,57.1,10.173,10.721,10.115,9.84,10.287,11.989,11.381,10.409,5.8,6.1,5.8,5.6,5.9,6.8,6.5,5.9
Addition Hills,San Juan,36.8,9.118,8.713,7.797,8.908,6.867,7.851,9.476,7.791,3.4,3.2,2.9,3.3,2.5,2.9,3.5,2.9
Balong-Bato,San Juan,25.4,5.429,6.102,5.999,4.571,3.991,5.993,5.777,6.746,1.4,1.6,1.5,1.2,1.0,1.5,1.5,1.7
Batis,San Juan,37.9,6.522,6.597,5.032,5.289,5.24,5.078,6.253,6.229,2.5,2.5,1.9,2.0,2.0,1.9,2.4,2.4
