barangay_name,lgu_name,total_ha,canopy_pct_model_2019,canopy_pct_model_2020,canopy_pct_model_2021,canopy_pct_model_2022,canopy_pct_model_2023,canopy_pct_model_2024,canopy_pct_model_2025,canopy_pct_model_2026,canopy_ha_model_2019,canopy_ha_model_2020,canopy_ha_model_2021,canopy_ha_model_2022,canopy_ha_model_2023,canopy_ha_model_2024,canopy_ha_model_2025,canopy_ha_model_2026
Lawang Bato,Valenzuela,274.8,6.511,8.755,11.41,11.473,12.168,7.807,12.888,6.688,17.9,24.1,31.4,31.6,33.5,21.5,35.4,18.4
Lingunan,Valenzuela,212.4,5.426,6.814,8.568,5.803,6.936,5.222,8.105,3.731,11.6,14.5,18.3,12.4,14.8,11.1,17.2,7.9
Mabolo,Valenzuela,11.1,3.906,8.594,7.031,7.812,9.375,5.469,7.031,5.469,0.4,1.0,0.8,0.9,1.0,0.6,0.8,0.6
Malanday,Valenzuela,233.0,4.14,5.558,6.789,6.9,6.154,5.185,7.436,3.327,9.7,13.0,15.9,16.1,14.4,12.1,17.3,7.8
Malinta,Valenzuela,205.5,3.178,4.154,6.144,3.903,4.958,4.576,6.655,3.136,6.5,8.5,12.6,8.0,10.2,9.4,13.7,6.4
Maysan,Valenzuela,314.1,6.528,7.828,9.682,8.299,7.746,6.418,8.065,4.992,20.6,24.6,30.5,26.1,24.4,20.2,25.3,15.7
Palasan,Valenzuela,29.3,6.845,9.821,9.821,8.631,9.524,8.036,10.119,8.929,2.0,2.9,2.9,2.5,2.8,2.4,3.0,2.6
Pariancillo Villa,Valenzuela,9.2,7.547,10.377,11.321,8.491,9.434,7.547,12.264,6.604,0.7,1.0,1.0,0.8,0.9,0.7,1.1,0.6
Pasolo,Valenzuela,41.0,7.219,10.191,10.828,9.13,10.828,10.616,11.465,8.917,3.0,4.2,4.4,3.7,4.4,4.4,4.7,3.7
Poblacion,Valenzuela,6.0,0.0,1.449,1.449,2.899,2.899,0.0,2.899,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.2,0.0
Pulo,Valenzuela,5.4,0.0,8.065,6.452,4.839,11.29,6.452,4.839,6.452,0.0,0.4,0.3,0.3,0.6,0.3,0.3,0.3
Punturin,Valenzuela,183.7,8.298,9.436,13.039,10.763,12.66,9.531,12.47,7.681,15.2,17.3,24.0,19.8,23.3,17.5,22.9,14.1
Rincon,Valenzuela,41.9,3.742,4.99,4.99,2.703,4.158,2.495,5.405,2.287,1.6,2.1,2.1,1.1,1.7,1.0,2.3,1.0
Tagalag,Valenzuela,135.9,1.218,2.628,3.397,2.372,3.013,3.077,4.231,1.667,1.7,3.6,4.6,3.2,4.1,4.2,5.7,2.3
Veinte Reales,Valenzuela,188.1,2.91,5.125,7.202,4.766,5.402,4.018,5.869,3.519,5.5,9.7,13.6,9.0,10.2,7.6,11.1,6.6
Wawang Pulo,Valenzuela,64.7,0.942,0.942,1.077,1.211,2.288,1.75,2.692,1.346,0.6,0.6,0.7,0.8,1.5,1.1,1.7,0.9
