barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 558,Manila,1.5,2.629,0.583,-0.0571,0.0,0.0,4.06,9.46,0.747,1157.7
Barangay 559,Manila,1.3,2.347,0.414,-0.0008,0.0,0.0,3.62,9.02,0.7442,1160.0
Barangay 56,Pasay,1.8,4.058,1.798,0.3002,0.0,0.0,2.15,8.13,0.7127,1235.6
Barangay 56,Caloocan,3.7,2.274,1.323,0.0288,0.0,0.0,1.47,13.05,0.728,1373.9
Barangay 560,Manila,1.5,2.302,0.417,-0.0959,0.0,0.0,2.59,10.19,0.7522,1114.4
Barangay 561,Manila,2.1,2.331,0.5,0.0601,0.0,0.0,3.63,9.03,0.75,1156.5
Barangay 562,Manila,2.3,2.09,0.581,0.105,0.0,0.0,3.61,9.17,0.7443,1151.4
Barangay 563,Manila,1.4,1.153,0.119,0.094,0.0,0.0,3.51,9.05,0.7429,1141.5
Barangay 564,Manila,1.6,0.745,0.169,0.0626,0.0,0.0,3.5,8.91,0.7432,1132.1
Barangay 565,Manila,3.0,0.385,0.173,0.0506,0.0,0.0,2.59,8.48,0.7407,1082.2
Barangay 566,Manila,2.7,2.161,0.59,0.2181,0.0,0.0,1.13,8.6,0.746,1106.6
Barangay 567,Manila,4.0,0.0,0.133,-0.0223,0.0,0.0,2.95,8.61,0.743,1046.3
Barangay 568,Manila,2.3,3.06,0.529,-0.1265,0.0,0.0,2.93,9.84,0.7464,1191.4
Barangay 57,Pasay,1.4,2.175,1.314,0.4419,0.0,0.0,1.97,7.57,0.7328,1246.5
Barangay 57,Caloocan,4.5,0.0,0.433,0.0083,0.0,0.0,2.85,15.01,0.749,1497.7
Barangay 58,Pasay,4.4,3.867,2.997,0.364,0.0,0.0,1.01,8.24,0.7362,1058.6
Barangay 58,Caloocan,5.5,0.0,2.296,-0.5602,0.0,0.0,5.3,18.29,0.7275,1680.8
Barangay 59,Pasay,3.7,1.147,2.575,0.1834,0.0,0.0,2.13,8.68,0.7385,1017.8
Barangay 59,Caloocan,4.6,3.085,1.799,0.2744,0.0,0.0,0.44,13.08,0.7265,1511.8
Barangay 6,Pasay,1.7,7.973,9.35,-0.0489,0.0,0.0,0.65,6.97,0.7019,545.6
Barangay 6,Caloocan,2.8,1.095,0.896,-0.0118,0.0,0.0,3.16,8.16,0.6859,1167.5
Barangay 60,Pasay,3.2,1.649,3.098,0.1212,0.0,0.0,3.11,8.72,0.7328,1191.7
Barangay 60,Caloocan,4.4,1.392,0.683,0.369,0.0,0.0,1.4,14.63,0.744,1665.7
Barangay 61,Pasay,0.8,1.623,1.173,0.4833,0.0,0.0,1.95,7.55,0.734,1239.2
Barangay 61,Caloocan,7.1,0.79,0.456,0.0341,0.0,0.0,3.61,17.33,0.7436,1757.1
Barangay 62,Pasay,2.4,1.319,1.095,0.5062,0.0,0.0,1.63,7.23,0.7389,1154.3
Barangay 62,Caloocan,7.0,1.659,0.059,0.2493,0.0,0.0,2.72,17.25,0.7258,1885.2
Barangay 63,Pasay,1.0,1.987,1.851,0.4158,0.0,0.0,2.19,7.79,0.7399,1186.7
Barangay 63,Caloocan,5.1,3.084,1.398,0.2599,0.0,0.0,2.01,14.45,0.7342,1650.7
Barangay 64,Pasay,1.1,3.156,3.174,0.2578,0.0,0.0,2.35,7.95,0.7376,1170.5
Barangay 64,Caloocan,2.5,5.588,2.957,0.1463,0.0,0.0,2.25,14.65,0.7079,1683.8
Barangay 65,Pasay,2.9,2.343,1.689,0.6893,0.0,0.0,1.36,6.96,0.7405,1022.6
Barangay 65,Caloocan,2.4,3.281,0.0,0.1042,0.0,0.0,3.83,16.28,0.7415,1799.7
Barangay 655,Manila,20.4,6.357,4.182,0.1127,0.0,0.0,8.64,10.52,0.6474,426.7
Barangay 66,Pasay,2.9,3.734,2.56,0.3426,0.0,0.0,2.13,7.73,0.7349,1088.1
Barangay 66,Caloocan,4.1,3.067,2.743,0.128,0.0,0.0,0.84,15.83,0.7425,1867.7
Barangay 663-A,Manila,9.2,9.577,7.112,0.0815,0.0,0.0,0.47,0.47,0.2868,18.3
Barangay 667,Manila,20.7,8.12,4.034,0.4615,0.0,0.0,7.32,8.0,0.6362,120.8
Barangay 668,Manila,14.4,4.944,1.698,0.4076,0.0,0.0,9.49,9.79,0.6884,126.0
Barangay 669,Manila,24.4,4.022,4.387,-0.0834,0.0,0.0,7.42,11.91,0.6899,290.8
Barangay 67,Pasay,2.7,3.144,1.174,0.777,0.0,0.0,1.02,6.62,0.7311,870.9
Barangay 67,Caloocan,5.2,3.44,0.153,0.4437,0.0,0.0,1.53,16.82,0.7462,1935.5
Barangay 670,Manila,13.9,5.884,3.152,0.366,0.0,0.0,6.92,10.96,0.6708,236.8
Barangay 675,Manila,8.7,3.069,4.044,0.1633,0.0,0.0,1.57,8.22,0.7391,759.9
Barangay 676,Manila,15.2,4.501,6.196,0.0934,0.0,0.0,2.18,8.59,0.7181,555.6
Barangay 68,Pasay,1.5,0.544,3.395,0.1689,0.0,0.0,1.98,8.77,0.7236,425.3
Barangay 68,Caloocan,5.9,4.923,0.0,0.5771,0.0,0.0,3.42,18.55,0.7366,1980.1
Barangay 685,Manila,9.8,2.933,1.74,0.3531,0.0,0.0,0.83,7.39,0.737,1065.7
Barangay 687,Manila,3.6,4.434,3.77,0.4597,0.0,0.0,0.68,7.48,0.7361,1024.6
Barangay 688,Manila,4.8,7.83,2.699,0.4877,0.0,0.0,1.08,7.76,0.721,962.6
Barangay 689,Manila,2.5,6.437,2.519,0.3642,0.0,0.0,1.18,7.72,0.7399,888.0
Barangay 69,Pasay,1.2,0.0,0.96,-0.0395,0.0,0.0,1.77,8.57,0.739,571.4
Barangay 69,Caloocan,3.0,0.164,0.669,0.022,0.0,0.0,1.58,16.61,0.7449,1858.3
Barangay 690,Manila,1.2,4.645,1.952,0.4672,0.0,0.0,1.16,7.66,0.7397,924.7
Barangay 691,Manila,1.5,3.004,1.161,0.2848,0.0,0.0,0.79,7.29,0.7401,769.9
Barangay 692,Manila,4.3,1.271,3.377,-0.0879,0.0,0.0,1.15,7.65,0.7345,719.3
Barangay 693,Manila,2.8,2.85,2.28,0.35,0.0,0.0,1.58,8.08,0.7297,855.5
Barangay 694,Manila,7.5,2.392,2.945,0.1635,0.0,0.0,3.48,9.25,0.7307,807.0
Barangay 695,Manila,4.6,2.891,0.933,0.4921,0.0,0.0,1.15,7.95,0.7239,985.4
Barangay 696,Manila,8.3,4.085,5.718,-0.0233,0.0,0.0,6.88,8.45,0.7195,646.7
Barangay 697,Manila,8.7,3.962,5.14,0.1696,0.0,0.0,8.42,9.56,0.7323,482.8
Barangay 698,Manila,8.3,3.04,2.632,0.1048,0.0,0.0,10.19,10.31,0.7354,329.4
Barangay 699,Manila,21.3,2.871,4.371,-0.0356,0.0,0.0,9.58,9.58,0.6477,134.2
Barangay 7,Pasay,2.9,7.032,5.029,0.278,0.0,0.0,1.83,7.75,0.715,506.8
Barangay 7,Caloocan,3.2,0.452,0.421,-0.0181,0.0,0.0,4.25,9.25,0.6776,1173.9
Barangay 70,Pasay,6.6,1.052,4.5,0.2175,0.0,0.0,1.82,8.55,0.7164,513.6
Barangay 70,Caloocan,6.0,0.363,0.911,0.0055,0.0,0.0,1.11,16.67,0.7477,1807.6
Barangay 700,Manila,3.9,4.067,3.956,0.3354,0.0,0.0,7.1,7.13,0.6882,141.9
Barangay 701,Manila,19.6,7.145,4.824,0.3895,0.0,0.0,4.91,7.55,0.655,179.1
Barangay 702,Manila,4.4,4.687,3.162,0.0046,0.0,0.0,3.78,8.04,0.7325,422.3
Barangay 703,Manila,5.7,5.438,10.321,-0.7625,0.0,0.0,2.34,8.65,0.7081,659.4
Barangay 706,Manila,3.8,5.315,8.173,-0.5384,0.0,0.0,2.16,8.37,0.7222,569.1
Barangay 71,Pasay,1.3,0.05,1.757,-0.0083,0.0,0.0,0.87,7.67,0.7474,595.3
Barangay 71,Caloocan,4.0,3.792,0.0,0.3136,0.0,0.0,3.88,19.74,0.728,1814.0
Barangay 72,Pasay,1.9,3.236,3.777,0.2535,0.0,0.0,0.37,7.17,0.7322,665.7
Barangay 72,Caloocan,4.4,2.664,0.839,0.0931,0.0,0.0,4.13,20.14,0.6667,1722.8
Barangay 722,Manila,2.8,4.811,3.14,0.1797,0.0,0.0,0.52,7.02,0.7361,685.9
Barangay 723,Manila,2.0,2.185,5.657,-0.0896,0.0,0.0,0.88,7.38,0.7403,603.1
Barangay 724,Manila,8.4,1.739,4.231,0.2412,0.0,0.0,1.73,8.23,0.7321,423.2
Barangay 725,Manila,5.6,2.589,2.668,0.0934,0.0,0.0,2.61,9.04,0.723,283.1
Barangay 726,Manila,4.2,4.289,5.099,0.023,0.0,0.0,2.93,9.01,0.7478,231.5
Barangay 727,Manila,5.8,1.306,5.584,-0.459,0.0,0.0,3.19,9.08,0.7316,165.7
Barangay 728,Manila,7.4,7.242,7.55,0.0568,0.0,0.0,2.8,8.62,0.6863,228.4
Barangay 729,Manila,3.1,5.116,0.405,0.0213,0.0,0.0,1.98,8.47,0.7179,194.1
Barangay 73,Pasay,6.6,5.982,9.212,0.0578,0.0,0.0,2.44,8.71,0.6865,637.1
Barangay 73,Caloocan,13.0,3.026,2.142,0.0314,0.0,0.0,7.84,17.61,0.6986,1709.3
Barangay 730,Manila,4.8,5.918,4.014,0.215,0.0,0.0,1.33,7.43,0.7276,331.5
Barangay 74,Pasay,3.3,8.421,5.021,0.6263,0.0,0.0,2.27,8.88,0.7185,753.6
Barangay 74,Caloocan,7.3,0.012,0.502,-0.2102,0.0,0.0,2.98,18.34,0.7447,1626.9
Barangay 75,Pasay,9.6,5.536,5.794,0.1403,0.0,0.0,2.65,8.27,0.7152,555.4
Barangay 75,Caloocan,5.0,0.112,0.495,-0.1759,0.0,0.0,1.34,17.31,0.7322,1608.5
Barangay 755,Manila,3.3,6.016,5.76,0.1388,0.0,0.0,0.79,6.77,0.7421,484.9
Barangay 756,Manila,2.7,5.796,7.604,-0.1996,0.0,0.0,1.44,7.35,0.7416,616.1
Barangay 757,Manila,1.3,5.223,4.881,0.0799,0.0,0.0,1.11,7.01,0.7332,739.9
Barangay 758,Manila,1.7,0.679,0.639,0.5213,0.0,0.0,0.84,6.82,0.736,877.0
Barangay 76,Caloocan,2.7,3.183,5.116,-0.3051,0.0,0.0,5.23,21.8,0.7013,1576.4
Barangay 760,Manila,2.9,2.9,0.022,0.3603,0.0,0.0,0.9,6.88,0.7491,715.4
Barangay 761,Manila,3.1,4.083,2.453,0.1504,0.0,0.0,1.29,7.16,0.748,576.1
Barangay 762,Manila,2.6,5.654,5.874,0.0144,0.0,0.0,1.35,6.95,0.7352,445.2
Barangay 77,Pasay,5.0,0.493,0.089,0.4628,0.0,0.0,3.61,7.88,0.7306,536.4
Barangay 77,Caloocan,5.9,0.792,1.917,-0.0671,0.0,0.0,2.92,20.74,0.7405,1411.8
Barangay 78,Pasay,4.1,0.843,0.0,0.1593,0.0,0.0,4.55,8.06,0.7234,494.9
Barangay 78,Caloocan,6.4,2.042,2.342,-0.3247,0.0,0.0,1.7,21.04,0.7438,1316.5
Barangay 79,Pasay,4.4,4.284,4.214,0.334,0.0,0.0,2.2,7.8,0.7259,656.9
Barangay 8,Pasay,2.4,7.562,4.7,0.467,0.0,0.0,2.54,8.48,0.7271,468.1
Barangay 8,Caloocan,29.8,1.902,0.962,0.2294,0.0,0.0,0.68,6.03,0.7183,630.0
Barangay 80,Pasay,2.5,6.96,8.429,-0.0262,0.0,0.0,3.19,8.79,0.7235,750.6
Barangay 80,Caloocan,31.7,8.618,5.305,0.2408,0.0,0.0,8.77,19.46,0.6634,1338.7
Barangay 81,Caloocan,6.8,1.993,5.204,-0.5435,0.0,0.0,1.44,21.42,0.7224,1324.1
Barangay 81,Pasay,1.7,9.447,6.932,0.3028,0.0,0.0,3.9,10.55,0.7348,806.0
Barangay 82,Caloocan,5.1,3.617,1.821,0.1866,0.0,0.0,5.68,17.48,0.7327,1195.8
Barangay 82,Pasay,0.8,0.0,3.205,-0.4136,0.0,0.0,1.8,8.41,0.7571,872.5
Barangay 83,Caloocan,6.1,3.493,2.459,0.1258,0.0,0.0,5.7,22.2,0.7451,1403.6
Barangay 83,Pasay,2.3,3.631,5.802,-0.3407,0.0,0.0,2.75,8.35,0.7469,755.3
Barangay 84,Caloocan,15.2,5.669,7.242,-0.594,0.0,0.0,3.71,22.57,0.7307,1348.5
Barangay 84,Pasay,1.5,0.0,3.205,-0.4136,0.0,0.0,2.88,8.5,0.7491,890.2
Barangay 85,Caloocan,4.9,1.837,1.6,0.113,0.0,0.0,5.22,22.3,0.7492,1528.7
Barangay 85,Pasay,4.4,6.075,3.034,0.6033,0.0,0.0,1.61,8.26,0.7351,882.7
Barangay 86,Caloocan,7.6,3.145,4.101,-0.17,0.0,0.0,1.62,21.62,0.731,1654.2
Barangay 86,Pasay,1.4,6.561,2.256,0.8305,0.0,0.0,1.8,8.45,0.7316,970.6
Barangay 87,Caloocan,8.4,1.522,2.644,0.0031,0.0,0.0,1.85,21.85,0.7452,1830.2
Barangay 87,Pasay,1.1,6.401,2.066,0.8517,0.0,0.0,1.58,8.38,0.7414,927.8
Barangay 873,Manila,2.4,4.21,4.636,-0.058,0.0,0.0,4.03,6.77,0.7259,269.7
Barangay 879,Manila,4.8,6.15,7.78,-0.2408,0.0,0.0,5.8,6.14,0.6378,129.4
Barangay 88,Caloocan,8.6,2.78,0.123,0.5348,0.0,0.0,5.28,23.12,0.7146,1802.6
Barangay 88,Pasay,3.3,8.98,5.313,0.3885,0.0,0.0,0.51,7.31,0.7135,748.1
Barangay 884,Manila,5.7,4.789,2.245,0.2289,0.0,0.0,2.8,6.8,0.737,245.6
Barangay 89,Caloocan,7.7,0.844,0.379,0.2803,0.0,0.0,1.35,21.35,0.7373,1995.7
Barangay 89,Pasay,1.6,6.772,4.059,0.2992,0.0,0.0,1.44,8.24,0.7327,885.8
Barangay 9,Pasay,1.4,7.531,4.733,0.4605,0.0,0.0,4.04,8.85,0.7119,448.6
Barangay 90,Caloocan,6.0,2.927,1.144,0.3445,0.0,0.0,3.56,21.16,0.7464,1967.0
Barangay 90,Pasay,2.0,6.811,4.823,0.2084,0.0,0.0,0.86,7.66,0.7392,847.1
Barangay 91,Caloocan,8.5,1.423,2.064,-0.0013,0.0,0.0,3.25,20.82,0.7416,2110.6
Barangay 91,Pasay,2.2,0.0,3.273,-0.1804,0.0,0.0,1.52,8.32,0.7305,770.2
Barangay 92,Caloocan,5.1,2.52,0.0,0.6811,0.0,0.0,2.46,22.46,0.7457,2125.5
Barangay 92,Pasay,2.2,0.0,2.971,-0.1619,0.0,0.0,2.42,8.93,0.7182,766.1
Barangay 93,Caloocan,5.9,0.943,0.0,0.4355,0.0,0.0,2.21,22.19,0.7445,2275.3
Barangay 93,Pasay,3.7,3.935,2.545,0.3222,0.0,0.0,1.89,8.68,0.7274,956.8
Barangay 94,Caloocan,5.1,0.073,0.931,-0.173,0.0,0.0,4.8,24.78,0.749,2038.5
Barangay 94,Pasay,2.9,4.742,2.613,0.3995,0.0,0.0,1.94,8.48,0.7325,1023.6
Barangay 95,Pasay,1.9,7.68,5.418,0.3242,0.0,0.0,2.12,8.31,0.7351,1060.4
Barangay 95,Caloocan,5.6,2.779,3.528,-0.3362,0.0,0.0,6.96,25.95,0.7396,2223.9
Barangay 96,Caloocan,9.3,3.133,0.47,0.3251,0.0,0.0,3.71,23.71,0.7301,2155.0
Barangay 96,Pasay,2.5,3.475,1.798,0.361,0.0,0.0,1.76,8.31,0.739,1089.6
Barangay 97,Caloocan,3.6,1.271,3.668,-0.3333,0.0,0.0,4.73,23.69,0.7448,2347.5
Barangay 97,Pasay,7.4,3.623,4.007,0.0464,0.0,0.0,2.55,8.23,0.7417,886.5
Barangay 98,Caloocan,2.7,2.308,4.562,-0.3121,0.0,0.0,4.99,24.75,0.7452,2432.7
Barangay 98,Pasay,4.5,1.033,5.192,-0.3362,0.0,0.0,2.15,7.75,0.7439,627.9
Barangay 99,Pasay,2.2,1.894,2.198,0.1747,0.0,0.0,1.98,7.58,0.7372,792.7
Barangay 99,Caloocan,4.8,7.308,3.006,0.2797,0.0,0.0,5.77,24.66,0.7182,2331.9
Barangka Drive,Mandaluyong,21.5,1.864,3.78,-0.0312,0.0,0.0,9.39,12.31,0.7425,468.7
Barangka Ibaba,Mandaluyong,15.6,5.564,3.097,0.328,0.0,0.0,7.53,10.6,0.6885,207.0
Barangka Itaas,Mandaluyong,18.4,3.353,4.32,-0.1409,0.0,0.0,13.27,16.15,0.7053,236.9
Batis,San Juan,37.9,6.253,6.522,-0.0438,0.0,0.0,3.85,9.13,0.7201,214.8
Bayanihan,Quezon City,6.7,4.944,6.86,-0.1151,0.0,0.0,10.38,51.8,0.7395,969.7
Bisig,Valenzuela,14.3,16.425,4.427,0.3591,0.0,0.0,1.01,3.21,0.5266,45.9
Blue Ridge A,Quezon City,26.0,12.879,13.426,-0.1146,0.0,0.0,37.7,45.62,0.7236,627.2
Blue Ridge B,Quezon City,14.2,14.721,14.816,0.0045,0.0,0.0,15.48,24.33,0.7091,364.1
Botocan,Quezon City,3.5,9.083,10.859,-0.093,0.0,0.0,3.06,48.93,0.7376,1889.9
Burol,Mandaluyong,2.2,7.572,3.984,0.4732,0.0,0.0,9.89,14.54,0.7446,407.9
Capri,Quezon City,9.5,5.49,3.709,0.0075,0.0,0.0,2.17,31.67,0.7236,4308.4
Cembo,Taguig,43.2,7.852,4.995,0.3573,0.0,0.0,8.06,13.19,0.6694,221.5
Claro,Quezon City,10.2,3.133,2.66,0.2865,0.0,0.0,1.77,46.2,0.7425,1976.6
Comembo,Taguig,31.5,4.094,5.079,0.1172,0.0,0.0,1.18,7.46,0.7255,1051.8
Commonwealth,Quezon City,306.2,8.448,8.926,-0.0568,0.0,0.0,11.48,75.96,0.7264,1274.4
Concepcion Dos,Marikina,196.6,7.826,7.751,0.0187,0.0,0.0,7.3,23.77,0.7386,2929.6
Concepcion Uno,Marikina,231.4,7.216,5.774,0.2432,0.0,0.0,2.51,15.64,0.7302,1232.6
Corazon de Jesus,San Juan,32.7,8.956,10.233,-0.1746,0.0,0.0,11.85,23.91,0.7217,915.5
Daang Bakal,Mandaluyong,17.2,6.269,4.833,0.2609,0.0,0.0,2.75,7.65,0.7272,239.6
Dalandanan,Valenzuela,155.6,4.229,2.207,-0.0595,0.0,0.0,2.74,6.53,0.6987,823.1
Damar,Quezon City,20.3,4.147,4.27,-0.2355,0.0,0.0,4.85,19.24,0.7435,3065.9
Damayan,Quezon City,21.3,6.045,5.411,0.0351,0.0,0.0,7.24,16.58,0.7386,1892.3
Daniel Fajardo,Las Pinas,28.5,7.194,4.053,0.8134,0.0,0.0,4.6,5.92,0.6029,316.2
Dasmariñas,Makati,192.4,12.416,12.392,0.2902,0.0,0.0,5.14,18.05,0.7132,855.6
Del Monte,Quezon City,54.2,5.278,8.137,-0.3465,0.0,0.0,9.11,19.65,0.7349,2472.4
Dioquino Zobel,Quezon City,3.2,5.54,7.684,0.0745,0.0,0.0,5.14,52.33,0.7454,1506.1
Don Manuel,Quezon City,24.2,4.009,2.934,0.1043,0.0,0.0,2.95,11.39,0.741,625.2
Doña Aurora,Quezon City,12.9,9.056,6.01,-0.0809,0.0,0.0,9.39,15.43,0.7391,914.9
Doña Josefa,Quezon City,28.1,5.406,2.351,0.3043,0.0,0.0,6.69,15.01,0.7359,724.2
Duyan-Duyan,Quezon City,16.0,4.976,3.041,0.2836,0.0,0.0,7.11,51.61,0.7337,1656.9
E. Rodriguez Sr.,Quezon City,65.5,5.413,4.155,0.1962,0.0,0.0,6.11,44.8,0.7362,1725.1
East Kamias,Quezon City,28.6,6.377,4.559,0.2619,0.0,0.0,3.92,43.95,0.7432,1867.8
East Rembo,Taguig,50.2,4.718,3.356,0.2204,0.0,0.0,9.28,14.83,0.7024,609.3
Elias Aldana,Las Pinas,45.6,10.089,9.693,0.2418,0.0,0.0,2.83,3.68,0.6021,255.1
Ermitaño,San Juan,10.3,6.949,4.34,0.3864,0.0,0.0,2.8,13.48,0.7375,838.6
Escopa I,Quezon City,1.0,4.517,4.187,0.0996,0.0,0.0,46.61,57.51,0.7397,867.6
Escopa II,Quezon City,2.1,8.918,12.419,-0.4475,0.0,0.0,38.42,49.32,0.7358,766.6
Escopa III,Quezon City,9.4,9.114,11.032,0.2068,0.0,0.0,39.28,53.46,0.7262,938.9
Escopa IV,Quezon City,1.7,8.841,11.493,-0.0338,0.0,0.0,41.81,52.71,0.7309,796.5
Greenhills,San Juan,188.6,6.945,5.201,0.172,0.0,0.0,4.62,30.65,0.7166,1023.4
Guadalupe Nuevo,Makati,58.5,4.55,3.349,0.3355,0.0,0.0,9.19,20.1,0.7283,590.3
Hagdang Bato Itaas,Mandaluyong,17.2,6.278,4.542,0.244,0.0,0.0,8.7,14.65,0.7345,764.0
Hagdang Bato Libis,Mandaluyong,15.1,7.502,5.077,0.3844,0.0,0.0,3.94,12.33,0.7296,1043.0
Harapin ang Bukas,Mandaluyong,5.0,4.649,2.051,0.4655,0.0,0.0,6.34,10.81,0.7421,329.7
Hulo,Mandaluyong,37.9,5.478,5.629,-0.0655,0.0,0.0,5.35,5.48,0.6082,83.9
Ilaya,Las Pinas,13.6,8.503,4.373,0.7796,0.0,0.0,4.32,5.37,0.6172,423.8
Immaculate Concepcion,Quezon City,51.1,7.104,6.546,0.0223,0.0,0.0,4.08,36.65,0.7342,940.8
Isabelita,San Juan,2.9,7.986,9.543,-0.6799,0.0,0.0,15.76,24.86,0.7305,853.6
Isla,Valenzuela,44.2,7.167,3.267,0.0365,0.0,0.0,0.7,2.84,0.5943,120.5
Kabayanan,San Juan,18.6,8.952,6.4,0.3328,0.0,0.0,2.77,9.67,0.7261,475.0
Kaligayahan,Quezon City,250.4,8.595,8.522,0.1099,0.0,0.0,10.5,66.27,0.7174,3105.1
Kamuning,Quezon City,43.6,7.765,7.873,-0.0232,0.0,0.0,4.34,31.56,0.7399,1436.4
Kapitolyo,Pasig,98.2,4.788,5.369,0.1173,0.0,0.0,24.37,35.3,0.7137,415.3
Kasilawan,Makati,10.7,6.083,3.328,0.2571,0.0,0.0,1.67,6.27,0.7219,398.2
Katipunan,Quezon City,12.7,9.306,6.154,0.455,0.0,0.0,1.36,15.97,0.7081,2701.7
Kristong Hari,Quezon City,34.4,12.373,10.989,0.059,0.0,0.0,6.99,24.34,0.7095,1182.4
Krus na Ligas,Quezon City,27.4,7.864,6.686,-0.0727,0.0,0.0,10.27,59.32,0.7247,1601.4
La Paz,Makati,26.0,1.591,0.975,0.0474,0.0,0.0,0.82,7.52,0.7356,949.7
Libis,Quezon City,11.2,12.22,12.731,-0.3525,0.0,0.0,7.72,16.09,0.6453,197.9
Little Baguio,San Juan,44.4,7.705,6.705,0.0268,0.0,0.0,5.6,24.49,0.7316,1234.9
Lourdes,Quezon City,75.9,7.409,5.268,-0.1555,0.0,0.0,6.95,15.09,0.7293,890.4
Mabolo,Valenzuela,11.1,6.314,5.087,-0.4443,0.0,0.0,1.83,3.83,0.6994,161.2
Magtanggol,Pateros,7.4,9.602,9.417,0.0163,0.0,0.0,1.06,6.46,0.7117,750.0
Maharlika,Quezon City,38.8,3.679,2.154,0.1365,0.0,0.0,4.29,15.24,0.739,1661.7
Maharlika Village,Taguig,45.6,6.146,6.453,0.0953,0.0,0.0,2.97,13.68,0.727,994.0
Malamig,Mandaluyong,31.3,5.263,3.352,0.2,0.0,0.0,16.71,25.43,0.7196,539.9
Malaya,Quezon City,14.3,9.973,9.408,0.1215,0.0,0.0,8.3,49.35,0.7386,1466.2
Mangga,Quezon City,8.2,4.848,4.687,0.2013,0.0,0.0,1.38,46.45,0.6753,2014.9
Manresa,Quezon City,82.7,1.69,1.423,-0.0186,0.0,0.0,5.93,18.52,0.7304,2527.5
Mariana,Quezon City,167.3,11.638,9.774,-0.0539,0.0,0.0,7.66,27.19,0.7284,729.2
Mariblo,Quezon City,13.8,6.086,3.67,0.0125,0.0,0.0,3.17,13.56,0.7375,1525.5
Martires del 96,Pateros,19.2,6.241,6.648,-0.0043,0.0,0.0,1.07,6.09,0.6917,1800.1
Masagana,Quezon City,16.3,4.916,3.413,0.2464,0.0,0.0,1.92,50.19,0.7458,1278.4
Masambong,Quezon City,34.8,3.601,3.314,0.0313,0.0,0.0,3.31,14.03,0.7371,2495.8
Mauway,Mandaluyong,69.7,14.958,14.272,-0.213,0.0,0.0,9.32,23.98,0.6958,1069.0
Maytunas,San Juan,20.5,9.262,8.715,0.0096,0.0,0.0,8.69,14.79,0.722,924.8
Milagrosa,Quezon City,27.3,5.35,4.661,0.0316,0.0,0.0,6.13,51.6,0.7389,1021.7
N.S. Amoranto,Quezon City,23.5,3.2,1.842,0.083,0.0,0.0,4.25,14.89,0.7381,1699.2
NBBS Dagat-Dagatan,Navotas,40.4,2.638,0.915,0.3019,0.0,0.0,0.85,6.31,0.6594,116.8
Nayong Kanluran,Quezon City,14.7,7.585,7.549,-0.1555,0.0,0.0,2.67,20.96,0.7353,2141.1
New Zañiga,Mandaluyong,17.4,5.775,6.317,-0.0363,0.0,0.0,3.3,8.2,0.7427,905.6
North Daang Hari,Taguig,12.7,8.872,9.514,-0.0522,0.0,0.0,14.89,32.56,0.7133,564.6
North Fairview,Quezon City,198.7,10.247,10.086,-0.1181,0.0,0.0,7.02,54.85,0.7299,910.6
Obrero,Quezon City,24.8,7.414,2.993,0.5211,0.0,0.0,9.31,25.17,0.7308,1482.6
Old Zañiga,Mandaluyong,33.3,10.302,6.512,0.0832,0.0,0.0,1.85,6.35,0.6591,511.0
Onse,San Juan,9.8,6.001,7.189,-0.3175,0.0,0.0,8.52,18.02,0.7409,862.8
Oranbo,Pasig,47.6,10.435,6.634,0.5027,0.0,0.0,26.14,43.05,0.6979,859.3
Paang Bundok,Quezon City,15.6,3.568,1.763,0.2066,0.0,0.0,4.1,10.63,0.7358,1371.9
Pag-ibig sa Nayon,Quezon City,36.9,4.498,1.783,0.2456,0.0,0.0,8.33,22.64,0.7362,2848.4
Palanan,Makati,65.3,3.568,2.712,0.2253,0.0,0.0,1.01,6.88,0.7393,850.9
Palasan,Valenzuela,29.3,5.682,1.527,0.1726,0.0,0.0,0.93,3.21,0.6871,236.4
Paltok,Quezon City,66.0,6.068,5.459,-0.0638,0.0,0.0,4.91,23.43,0.7382,2112.8
Pamplona Dos,Las Pinas,114.7,9.049,8.661,0.0786,0.0,0.0,2.42,12.88,0.7209,522.6
Paraiso,Quezon City,15.4,8.091,5.829,-0.1338,0.0,0.0,6.79,19.33,0.7378,1879.7
Pariancillo Villa,Valenzuela,9.2,10.325,6.786,-0.1577,0.0,0.0,0.71,3.25,0.6426,118.2
Pasadena,San Juan,24.8,9.623,9.442,-0.0099,0.0,0.0,5.46,21.41,0.7282,851.6
Payatas,Quezon City,374.2,12.103,12.057,-0.0295,0.0,0.0,17.7,61.5,0.6644,857.7
Pedro Cruz,San Juan,18.7,7.984,5.739,0.4576,0.0,0.0,10.63,17.35,0.7155,511.8
Pembo,Taguig,72.5,1.94,2.001,0.1126,0.0,0.0,6.43,13.59,0.7306,1425.1
Phil-Am,Quezon City,45.1,8.613,7.573,-0.0557,0.0,0.0,3.13,35.01,0.7202,1198.3
Pilar,Las Pinas,195.7,6.537,6.192,0.1056,0.0,0.0,4.85,37.37,0.7436,1961.8
Pinagkaisahan,Quezon City,33.5,7.068,5.508,0.0831,0.0,0.0,5.51,36.93,0.7399,1285.5
Pineda,Pasig,62.2,6.142,5.679,-0.0385,0.0,0.0,12.64,14.75,0.6245,173.3
