barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Lower Bicutan,Taguig,132.9,4.829,6.875,-0.3849,0.00027,0.027,9.24,14.99,0.7084,404.4
San Bartolome,Quezon City,359.1,10.484,8.369,0.0334,0.00026,0.026,6.71,39.16,0.7084,4174.7
Pasong Tamo,Quezon City,490.3,12.76,11.288,-0.0959,0.00018,0.018,6.58,55.57,0.689,2857.2
Barangay 654,Manila,9.4,5.652,6.564,-0.1624,0.00011,0.011,6.69,7.62,0.648,281.1
Damayang Lagi,Quezon City,80.7,9.142,10.128,-0.5173,9e-05,0.009,4.66,11.79,0.6933,484.8
Doña Imelda,Quezon City,94.1,9.987,9.11,-0.2666,8e-05,0.008,3.81,10.35,0.6679,333.0
Pansol,Quezon City,171.7,22.641,21.784,-0.2762,4e-05,0.004,22.9,53.94,0.5881,684.7
Addition Hills,San Juan,36.8,9.476,9.118,-0.0875,0.0,0.0,6.84,20.08,0.7209,1067.0
Addition Hills,Mandaluyong,113.7,7.621,6.35,0.0765,0.0,0.0,7.36,18.23,0.7243,1136.8
Aguho,Taguig,16.0,8.225,8.655,0.0592,0.0,0.0,1.27,6.67,0.7218,1561.2
Amihan,Quezon City,13.2,4.714,3.086,0.3011,0.0,0.0,4.1,50.39,0.7396,1589.5
Arkong Bato,Valenzuela,38.6,4.476,0.726,0.2222,0.0,0.0,1.71,4.43,0.7063,402.5
BF Homes Caloocan,Caloocan,62.1,12.757,9.401,0.1539,0.0,0.0,4.38,49.85,0.7315,5161.9
BF International Village,Las Pinas,256.3,9.846,8.842,0.108,0.0,0.0,3.62,19.56,0.674,2158.6
Bagbaguin,Caloocan,92.0,7.835,5.061,-0.0649,0.0,0.0,9.58,33.89,0.6845,4005.7
Bagong Katipunan,Pasig,1.8,8.972,6.158,0.3191,0.0,0.0,2.67,7.67,0.7122,288.6
Bagong Lipunan ng Crame,Quezon City,93.3,9.453,7.842,0.1516,0.0,0.0,4.26,39.57,0.722,1095.3
Bagong Silang,Mandaluyong,14.2,3.883,4.72,-0.0773,0.0,0.0,2.25,8.53,0.7276,624.0
Bagumbong,Caloocan,588.8,11.278,12.031,-0.2773,0.0,0.0,8.57,48.29,0.6952,5579.8
Bagumbuhay,Quezon City,24.0,6.344,5.129,-0.1043,0.0,0.0,3.09,48.87,0.7361,1686.4
Bahay Toro,Quezon City,299.7,6.603,6.399,-0.0537,0.0,0.0,5.56,31.96,0.7338,2368.6
Balong Bato,Quezon City,38.1,6.138,5.104,-0.2701,0.0,0.0,5.27,25.57,0.7083,2378.4
Balong-Bato,San Juan,25.4,5.777,5.429,0.0833,0.0,0.0,6.53,14.0,0.7265,403.5
Bangkal,Makati,88.1,3.823,3.963,0.0668,0.0,0.0,2.79,9.28,0.7288,579.9
Barangay 1,Pasay,3.5,5.908,1.637,0.7534,0.0,0.0,8.59,10.23,0.698,207.7
Barangay 1,Caloocan,4.1,5.809,3.467,0.1592,0.0,0.0,3.41,12.0,0.7149,1428.6
Barangay 10,Pasay,3.3,6.484,6.479,0.1629,0.0,0.0,4.57,8.6,0.7232,445.1
Barangay 10,Caloocan,3.8,4.564,3.354,0.037,0.0,0.0,7.81,12.76,0.7347,1317.1
Barangay 100,Pasay,3.1,8.538,8.529,-0.028,0.0,0.0,2.47,8.07,0.7215,952.3
Barangay 100,Caloocan,4.4,6.953,4.219,0.1367,0.0,0.0,6.27,25.58,0.742,2425.2
Barangay 101,Pasay,1.7,9.772,8.525,-0.1163,0.0,0.0,3.04,8.68,0.7331,1104.1
Barangay 101,Caloocan,11.4,3.597,2.935,0.0697,0.0,0.0,7.24,23.7,0.7439,2533.8
Barangay 102,Pasay,1.0,9.954,7.386,-0.1781,0.0,0.0,2.71,8.96,0.7344,1168.7
Barangay 102,Caloocan,2.4,2.482,0.552,0.227,0.0,0.0,8.77,24.27,0.7424,2658.0
Barangay 103,Pasay,1.5,10.15,5.776,0.2115,0.0,0.0,2.25,8.64,0.7265,1165.8
Barangay 104,Caloocan,7.5,0.944,0.273,0.1552,0.0,0.0,4.37,21.41,0.7349,2280.3
Barangay 104,Pasay,2.6,9.772,6.23,0.0593,0.0,0.0,1.86,8.49,0.7316,1169.7
Barangay 105,Pasay,1.0,5.782,5.057,-0.1788,0.0,0.0,1.12,7.92,0.7486,1191.8
Barangay 105,Caloocan,8.4,0.485,0.036,0.2369,0.0,0.0,8.69,23.43,0.7332,2610.0
Barangay 106,Caloocan,5.7,1.635,1.137,0.2187,0.0,0.0,5.28,20.43,0.7361,2012.0
Barangay 106,Pasay,1.1,2.998,3.922,-0.2721,0.0,0.0,1.76,7.98,0.7416,1186.3
Barangay 107,Caloocan,4.8,1.354,0.907,0.2024,0.0,0.0,5.51,21.15,0.7418,2117.1
Barangay 107,Pasay,2.4,3.665,4.104,-0.1721,0.0,0.0,2.26,7.97,0.7387,1182.3
Barangay 108,Caloocan,4.9,0.862,0.031,0.1913,0.0,0.0,3.84,20.82,0.7428,2218.4
Barangay 108,Pasay,3.0,3.723,3.568,-0.1278,0.0,0.0,2.39,7.99,0.7424,1098.1
