rank,site_id,name,desig,iucn_cat,status,status_yr,rep_area_ha,area_ha,forest2000_ha,loss_ha,pct_of_forest2000,pct_of_pa
135,555715039,"Tanglar point to Bicol River up to the Islands of Lahay, Locsuhin, Haponan, Quinabungan, Lamit and Batan Magrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,3142.0,3143.6,2568.0,6.1,0.24,0.194
136,306454,Tipulu-an Mau-it River Watershed,Natural Park,II,Designated,2000,6778.0,6782.1,4869.1,4.9,0.1,0.072
137,306528,Island of Pandasan Wilderness Area,Protected Landscape and Seascape,V,Designated,2018,7293.0,7280.7,138.5,4.6,3.33,0.063
138,14736,Mahagnao Volcano National Park,Natural Park,II,Designated,2018,341.0,340.7,310.8,4.3,1.39,1.27
139,305927,Sarangani Bay Protected Seascape,Protected Seascape,V,Designated,2018,210888.0,210794.0,340.6,4.3,1.27,0.002
140,7327,Island of Bantayan Wilderness Area,Wilderness Area,Not Assigned,Designated,1981,11260.0,11266.4,1412.6,4.2,0.3,0.037
141,5216,Balbalasang-Balbalan National Park,National Park,Not Assigned,Designated,1972,1443.0,1442.4,1216.5,4.1,0.34,0.284
142,555715028,"Putiao River to Malbog River, Getumbro Pt. to Prieto Diaz, Panuntingan Pt. to Tagdon River, Sinagbatan Bay to Mantay Pt. Magrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,2593.0,2594.3,1830.2,4.1,0.22,0.157
143,555715030,"Mangrove areas along banks of Mamburao River, Buluangan River to Lagarum River, Naujan, bank of Betel Creek, Sablayan Pt. to Bagong Sabang RIver, Labangan to Calalayuan Pt. Sukol River, Casiliga River, Island of Soguicay Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,997.0,997.1,679.6,3.9,0.57,0.391
144,145484,Palaui Island Protected Landscape and Seascape,Protected Landscape and Seascape,V,Designated,2018,8049.0,8053.4,2492.3,3.8,0.15,0.047
145,555715046,Mangrove Areas from Liangan River to Lipatan River of the Municipality of Lapayan Mangrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,191.0,190.9,124.0,3.8,3.07,1.993
146,5220,Bulusan Volcano National Park,Natural Park,II,Designated,2018,3642.0,3643.0,3312.3,3.2,0.1,0.088
147,145486,Pamitinan Protected Landscape,Protected Landscape,V,Designated,2018,609.0,609.0,522.1,3.1,0.6,0.51
148,14710,Capalonga Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1966,359.0,359.1,355.1,3.1,0.87,0.856
149,555715040,"Island of Dinagat, Hikdop, Sibate and Hanigad Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,1898.0,1895.1,1349.6,3.0,0.22,0.156
150,101396,Sagay Marine Reserve,Resource Reserve,Ib,Designated,2001,32515.0,32533.4,162.6,2.9,1.78,0.009
151,555715042,"Island of Pamusuan, Handayan, Majanay,,, Islets of Bonoon, Lapinig, Pinahon and Lapinig Chico, Mangrove areas east of Soom River Pangpang Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,2851.0,2850.5,1283.7,2.5,0.2,0.088
152,7209,Mt. Data National Park,National Park,Not Assigned,Designated,1936,5512.0,5508.5,2399.8,2.4,0.1,0.043
153,306476,Tañon Strait Protected Seascape,Protected Seascape,V,Designated,2018,534589.0,534941.3,2110.0,2.1,0.1,0.0
154,555715029,"Mangroves from Malaquing River to Mabunga River, Cueva Point to Kimartinez Point, Kabugao Point to Kabalog Andang Point Magrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,447.0,446.8,302.6,2.1,0.69,0.468
155,306515,Selinog Island,Protected Landscape and Seascape,V,Designated,2018,959.0,960.2,56.5,2.0,3.6,0.212
156,7218,Bulabog-Putian National Park,National Park,Not Assigned,Designated,1961,889.0,889.8,876.6,1.9,0.22,0.217
157,306427,Aurora Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1936,1637.0,1637.1,1567.4,1.8,0.11,0.109
158,306471,Kabangkalan Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1991,417.0,417.1,289.6,1.7,0.58,0.405
159,555715067,Mount Makiling,Forest Reserve,Not Assigned,Designated,1933,4230.0,4228.9,4137.0,1.6,0.04,0.039
160,846,Quezon National Park,Protected Landscape,V,Designated,2018,1043.0,1043.2,1025.5,1.6,0.16,0.155
161,555715053,"Island of Ponson, Poro, Pacihan",Protected Landscape and Seascape,V,Designated,2018,1437.0,1437.0,694.4,1.5,0.22,0.107
162,7214,Roosevelt National Park,Protected Landscape,V,Designated,2018,950.0,949.2,491.5,1.5,0.3,0.155
163,306436,Sibuyan Island Mangrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,505.0,504.8,372.2,1.3,0.35,0.259
164,555583100,Mt. Timpoong Hibok-hibok Natural Monument,Natural Monument,III,Designated,2018,2203.0,2203.2,2136.2,1.3,0.06,0.061
165,306435,Torrijos Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1932,158.0,157.9,156.7,1.2,0.75,0.74
166,306441,"Island of Basot, Quinalaang and Malabungot Wilderness Area",Protected Landscape,V,Designated,2018,148.0,147.8,137.9,1.2,0.88,0.823
167,7208,Northern Luzon Heroes Hill National Park,National Park,Not Assigned,Designated,1963,5397.0,5391.5,3569.5,1.2,0.03,0.022
168,555715013,Island of Ambugan / Hambungan & Inabanga River Mangrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,1215.0,1215.0,1042.4,1.1,0.11,0.093
169,555715021,Island of Majaba and Napayuan Wilderness Area,Wilderness Area,Not Assigned,Designated,1981,441.0,441.1,66.8,1.1,1.65,0.249
170,555715041,"Mangrove Areas along Municipalities of Lavigan, Valencia Up to Taon River Municipality of Barcelona,, Islands of Masopelid, Mahaba, Condona, Bayagnan, Bilabid and Caye Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,1311.0,1308.6,1088.3,1.1,0.1,0.082
171,7227,Mt. Dajo National Park,National Park,Not Assigned,Designated,1938,212.0,212.3,206.7,1.1,0.52,0.503
172,306403,Watershed Purposes of Mariveles (Palanas) Watershed and Forest Range,Watershed and Forest Range,Not Assigned,Designated,1919,347.0,346.7,246.5,1.0,0.41,0.294
173,61467,Dahican Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1933,42.0,42.3,41.4,1.0,2.31,2.265
174,306397,Tanap Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1971,303.0,303.1,193.3,0.9,0.45,0.286
175,555715033,"Palsabangan River up to Mazintuto River, Bacong River to Sandoval Point Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,867.0,866.7,410.3,0.9,0.23,0.109
176,306393,Ilocos Norte Metro Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1934,2248.0,2245.9,1930.5,0.8,0.04,0.038
177,306424,Tibiang-Damagandong Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1938,274.0,274.6,269.0,0.8,0.29,0.285
178,306521,Mimbilisan Protected Landscape,Protected Landscape,V,Designated,2018,107.0,106.8,95.7,0.7,0.74,0.662
179,555715031,"Island of Sta Cruz and Salomague, foreshoreline of dapdap and alabo to the mouth of tagum river, malinoa creek to salomague point, foreshoreline of Barrio Cabuyagan to eastern side of Dating Bayan RIver in Calancan Bay Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,2351.0,2352.4,1857.9,0.7,0.04,0.028
180,306400,Dupax Watershed Reservation,Watershed Reservation,Not Assigned,Designated,1934,339.0,338.4,221.9,0.6,0.27,0.178
181,306418,Infanta Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1967,480.0,479.8,479.4,0.6,0.12,0.122
182,306419,Lopez Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1940,441.0,440.8,425.9,0.6,0.14,0.138
